pm10,pm25,so2,co,o3,no2,categori
53,70,57,15,13,48,SEDANG
33,47,57,10,10,25,SEDANG
35,53,58,15,13,44,SEDANG
42,56,58,11,15,23,SEDANG
39,65,57,12,19,32,SEDANG
62,79,57,10,22,25,SEDANG
67,101,57,16,24,40,TIDAK SEHAT
79,109,60,17,24,46,TIDAK SEHAT
65,90,57,14,28,27,SEDANG
66,96,57,15,33,32,SEDANG
66,96,57,14,31,31,SEDANG
71,97,58,13,26,30,SEDANG
71,95,58,11,30,17,SEDANG
66,89,58,11,26,20,SEDANG
67,87,58,11,27,23,SEDANG
63,89,57,11,30,16,SEDANG
58,78,57,11,39,15,SEDANG
64,88,57,11,38,23,SEDANG
80,115,59,12,30,37,TIDAK SEHAT
70,92,57,11,36,28,SEDANG
64,93,58,11,28,25,SEDANG
70,100,58,10,28,22,SEDANG
72,104,58,10,33,17,TIDAK SEHAT
67,93,57,9,31,12,SEDANG
75,106,58,11,27,27,TIDAK SEHAT
78,110,58,11,30,26,TIDAK SEHAT
56,89,57,13,13,41,SEDANG
35,67,57,10,11,37,SEDANG
71,106,58,21,12,77,TIDAK SEHAT
46,71,57,15,12,62,SEDANG
52,69,58,12,9,57,SEDANG
28,50,57,8,6,61,SEDANG
22,32,57,11,8,85,SEDANG
36,60,58,11,11,66,SEDANG
31,58,57,11,10,45,SEDANG
51,77,58,7,12,24,SEDANG
64,101,58,13,11,31,TIDAK SEHAT
61,98,58,12,17,32,SEDANG
68,111,59,19,17,65,TIDAK SEHAT
61,92,58,12,17,33,SEDANG
57,90,58,11,17,29,SEDANG
54,86,58,9,22,27,SEDANG
59,93,58,11,17,29,SEDANG
59,88,58,9,18,26,SEDANG
53,82,58,8,19,24,SEDANG
58,89,58,9,19,28,SEDANG
52,81,58,8,20,25,SEDANG
51,78,58,8,20,25,SEDANG
55,83,59,8,23,25,SEDANG
54,82,60,7,22,30,SEDANG
45,73,58,7,20,34,SEDANG
52,76,58,8,15,38,SEDANG
60,91,59,9,19,32,SEDANG
62,99,59,9,21,32,SEDANG
54,15,59,8,22,33,SEDANG
55,16,59,8,21,32,SEDANG
62,16,28,26,21,28,SEDANG
73,98,40,30,18,14,SEDANG
61,71,40,25,15,15,SEDANG
77,105,43,36,17,15,TIDAK SEHAT
61,68,51,31,17,16,SEDANG
64,65,51,24,12,16,SEDANG
51,51,51,20,11,12,SEDANG
33,46,51,24,11,14,SEDANG
52,63,51,22,21,10,SEDANG
46,55,51,22,18,13,SEDANG
65,74,51,19,20,12,SEDANG
75,107,51,28,26,17,TIDAK SEHAT
79,94,51,26,29,20,SEDANG
,102,51,29,21,23,TIDAK SEHAT
,100,51,27,19,22,SEDANG
,88,51,23,22,22,SEDANG
74,81,51,23,29,20,SEDANG
77,97,51,26,19,22,SEDANG
76,90,51,21,24,18,SEDANG
73,81,51,19,24,17,SEDANG
76,84,51,21,25,16,SEDANG
70,81,51,20,27,16,SEDANG
69,80,51,21,32,17,SEDANG
72,81,52,21,34,19,SEDANG
77,87,52,21,26,23,SEDANG
66,74,51,20,30,19,SEDANG
64,79,52,22,25,17,SEDANG
75,92,51,20,27,16,SEDANG
75,90,51,21,31,15,SEDANG
83,97,52,20,31,17,SEDANG
80,94,52,23,28,19,SEDANG
96,113,52,28,28,20,TIDAK SEHAT
,94,34,21,44,17,SEDANG
48,74,28,19,45,16,SEDANG
,121,31,33,43,25,TIDAK SEHAT
,84,30,29,,25,SEDANG
,78,38,24,23,27,SEDANG
,43,33,20,17,16,BAIK
,45,32,24,19,13,BAIK
,60,34,22,31,14,SEDANG
,66,30,22,36,23,SEDANG
,77,35,18,44,15,SEDANG
66,117,33,27,25,23,TIDAK SEHAT
53,96,34,22,36,20,SEDANG
65,112,34,29,25,32,TIDAK SEHAT
59,104,33,25,27,23,TIDAK SEHAT
52,89,35,22,31,20,SEDANG
53,99,34,24,37,24,SEDANG
57,99,35,25,27,25,SEDANG
52,89,37,20,36,17,SEDANG
47,93,34,20,53,15,SEDANG
51,91,35,19,54,17,SEDANG
45,88,33,18,58,13,SEDANG
39,82,32,18,61,13,SEDANG
47,85,35,18,52,14,SEDANG
53,95,38,19,41,16,SEDANG
44,84,34,19,47,15,SEDANG
53,90,34,20,37,16,SEDANG
52,91,36,19,44,16,SEDANG
55,104,34,20,54,14,TIDAK SEHAT
44,94,34,20,46,15,SEDANG
53,102,33,21,39,19,TIDAK SEHAT
59,112,34,22,42,22,TIDAK SEHAT
65,91,58,11,36,27,SEDANG
70,95,58,8,34,17,SEDANG
64,89,58,7,32,10,SEDANG
61,87,58,8,35,14,SEDANG
68,97,58,9,31,20,SEDANG
73,102,58,9,33,23,TIDAK SEHAT
65,91,59,9,28,22,SEDANG
57,79,57,7,29,9,SEDANG
66,101,58,10,28,27,TIDAK SEHAT
65,93,58,9,30,17,SEDANG
54,82,58,9,35,18,SEDANG
70,106,58,12,36,31,TIDAK SEHAT
71,94,58,9,32,29,SEDANG
70,101,58,9,43,25,TIDAK SEHAT
68,93,58,11,28,34,SEDANG
59,80,58,8,31,22,SEDANG
60,99,59,10,18,40,SEDANG
45,73,58,10,11,44,SEDANG
33,60,58,12,5,53,SEDANG
45,65,58,14,4,59,SEDANG
46,72,58,10,5,41,SEDANG
53,80,58,10,6,38,SEDANG
57,92,58,9,7,33,SEDANG
69,112,59,14,9,48,TIDAK SEHAT
62,94,59,11,16,46,SEDANG
54,84,59,9,19,31,SEDANG
51,76,58,7,19,19,SEDANG
43,74,59,7,22,29,SEDANG
64,95,61,12,27,47,SEDANG
62,96,61,11,32,40,SEDANG
63,93,60,11,29,45,SEDANG
58,94,60,10,32,44,SEDANG
69,104,62,13,38,50,TIDAK SEHAT
66,104,61,11,36,38,TIDAK SEHAT
56,85,60,8,35,36,SEDANG
64,103,62,11,32,50,TIDAK SEHAT
63,103,63,12,29,58,TIDAK SEHAT
62,89,63,9,31,48,SEDANG
60,88,60,9,29,48,SEDANG
59,92,60,9,32,32,SEDANG
55,82,60,8,33,30,SEDANG
60,90,60,12,26,50,SEDANG
65,98,61,12,30,50,SEDANG
54,80,61,8,37,39,SEDANG
61,14,61,10,33,46,SEDANG
59,15,61,11,32,50,SEDANG
47,14,19,22,32,38,BAIK
72,83,51,21,32,17,SEDANG
63,75,51,23,28,20,SEDANG
54,58,51,22,22,14,SEDANG
58,64,51,29,18,13,SEDANG
53,67,51,21,21,15,SEDANG
67,75,52,21,24,17,SEDANG
76,87,52,21,30,17,SEDANG
91,98,52,25,32,22,SEDANG
78,85,53,23,32,19,SEDANG
64,75,53,19,39,18,SEDANG
62,68,52,17,47,15,SEDANG
56,66,52,17,43,14,SEDANG
75,88,53,23,38,24,SEDANG
78,85,53,24,37,25,SEDANG
78,84,53,22,42,22,SEDANG
73,83,53,23,44,24,SEDANG
75,93,54,24,56,23,SEDANG
76,90,53,21,46,16,SEDANG
70,81,53,20,48,15,SEDANG
81,95,53,22,48,20,SEDANG
85,95,53,23,43,23,SEDANG
86,102,54,19,47,17,TIDAK SEHAT
87,103,52,20,31,13,TIDAK SEHAT
69,85,53,22,40,24,SEDANG
75,80,53,21,40,19,SEDANG
72,76,53,22,40,21,SEDANG
71,84,54,26,43,29,SEDANG
70,79,53,20,52,22,SEDANG
187,123,54,23,48,33,TIDAK SEHAT
71,82,53,23,43,26,SEDANG
133,135,53,19,38,21,TIDAK SEHAT
57,107,32,20,55,15,TIDAK SEHAT
54,90,32,21,53,16,SEDANG
36,70,32,21,48,18,SEDANG
51,82,31,26,48,20,SEDANG
51,84,33,19,47,15,SEDANG
45,81,36,19,43,17,SEDANG
53,101,33,20,44,18,TIDAK SEHAT
64,118,35,24,32,24,TIDAK SEHAT
52,97,35,20,39,15,SEDANG
43,89,35,18,43,15,SEDANG
43,85,32,17,51,10,SEDANG
36,86,33,18,42,11,SEDANG
59,110,36,23,32,23,TIDAK SEHAT
58,109,36,22,40,21,TIDAK SEHAT
48,100,35,21,50,18,SEDANG
55,103,35,22,45,19,TIDAK SEHAT
51,107,37,22,51,21,TIDAK SEHAT
55,107,34,21,50,16,TIDAK SEHAT
46,94,33,19,57,15,SEDANG
62,115,33,22,52,18,TIDAK SEHAT
64,118,35,21,54,18,TIDAK SEHAT
47,87,39,18,48,15,SEDANG
46,79,33,17,67,12,SEDANG
54,101,35,19,47,16,TIDAK SEHAT
52,93,34,18,50,11,SEDANG
54,102,35,21,40,17,TIDAK SEHAT
65,116,36,22,58,18,TIDAK SEHAT
50,87,36,20,46,17,SEDANG
59,107,37,20,62,16,TIDAK SEHAT
65,127,36,23,47,21,TIDAK SEHAT
42,80,35,18,41,13,SEDANG
59,84,59,11,32,25,SEDANG
72,89,59,11,33,35,SEDANG
67,87,59,8,34,25,SEDANG
68,89,59,6,33,21,SEDANG
74,97,59,5,34,14,SEDANG
67,85,60,9,24,17,SEDANG
60,74,59,9,21,16,SEDANG
66,91,59,22,23,57,SEDANG
57,75,59,15,21,42,SEDANG
63,79,60,15,20,43,SEDANG
58,74,59,9,22,15,SEDANG
61,80,58,12,24,21,SEDANG
52,67,59,11,22,21,SEDANG
54,79,61,9,33,45,SEDANG
57,84,61,8,32,46,SEDANG
51,72,60,8,29,42,SEDANG
46,71,61,7,31,38,SEDANG
51,66,61,7,23,41,SEDANG
48,70,61,8,27,39,SEDANG
56,74,61,7,26,38,SEDANG
48,70,61,6,23,34,SEDANG
44,61,61,6,24,34,SEDANG
53,65,60,14,17,71,SEDANG
34,,60,8,20,44,SEDANG
55,80,61,11,28,52,SEDANG
51,68,60,10,26,51,SEDANG
65,87,59,11,35,22,SEDANG
53,70,60,8,32,47,SEDANG
51,74,61,8,33,44,SEDANG
59,84,61,9,28,44,SEDANG
60,61,52,22,44,24,SEDANG
65,63,53,25,47,26,SEDANG
54,57,53,20,51,27,SEDANG
50,55,53,20,56,31,SEDANG
68,70,53,24,49,28,SEDANG
64,80,54,28,42,34,SEDANG
51,62,54,21,34,19,SEDANG
72,73,53,28,37,36,SEDANG
57,59,54,19,51,24,SEDANG
51,56,54,19,40,25,SEDANG
53,55,53,19,45,22,SEDANG
52,53,53,19,42,22,SEDANG
52,57,55,18,52,22,SEDANG
60,66,54,23,44,26,SEDANG
66,64,54,21,44,24,SEDANG
64,63,54,21,45,30,SEDANG
62,59,53,24,41,27,SEDANG
33,103,37,22,51,17,TIDAK SEHAT
25,90,37,20,54,16,SEDANG
25,95,38,22,49,17,SEDANG
30,94,38,22,46,16,SEDANG
22,80,37,21,44,18,SEDANG
19,76,36,21,49,15,SEDANG
35,121,38,27,46,19,TIDAK SEHAT
25,84,39,21,39,17,SEDANG
24,82,37,20,52,13,SEDANG
32,92,38,20,52,14,SEDANG
20,102,39,23,44,20,TIDAK SEHAT
21,92,39,20,48,16,SEDANG
,111,41,21,51,14,TIDAK SEHAT
68,113,38,22,48,17,TIDAK SEHAT
34,84,39,19,61,12,SEDANG
32,111,40,22,59,18,TIDAK SEHAT
53,75,39,20,43,16,SEDANG
47,73,38,19,49,12,SEDANG
61,93,42,21,51,15,SEDANG
55,84,40,18,33,11,SEDANG
38,81,39,19,36,11,SEDANG
54,92,40,21,43,17,SEDANG
52,87,42,19,59,13,SEDANG
43,79,40,17,55,11,SEDANG
50,82,39,20,59,17,SEDANG
50,78,39,21,44,16,SEDANG
48,75,45,17,42,10,SEDANG
42,79,40,18,52,10,SEDANG
51,83,40,19,48,16,SEDANG
56,99,40,20,58,14,SEDANG
55,89,41,20,52,15,SEDANG
62,61,54,26,44,30,SEDANG
74,67,54,24,36,36,SEDANG
58,55,53,34,30,26,SEDANG
55,52,53,30,34,30,SEDANG
,37,53,28,24,25,SEDANG
42,61,54,27,24,19,SEDANG
18,64,55,22,23,20,SEDANG
18,65,55,30,35,28,SEDANG
37,56,53,28,41,30,SEDANG
38,60,53,42,33,27,SEDANG
18,41,54,22,25,21,SEDANG
19,51,54,27,23,25,SEDANG
,44,54,24,33,26,SEDANG
,52,54,22,33,24,SEDANG
,48,54,23,29,26,SEDANG
,54,55,25,28,25,SEDANG
,38,53,27,18,19,SEDANG
,38,54,26,23,16,SEDANG
,51,54,27,28,22,SEDANG
,42,54,26,18,22,SEDANG
,28,53,24,19,20,SEDANG
,27,53,19,19,16,SEDANG
,34,53,20,13,16,SEDANG
66,105,40,22,49,19,TIDAK SEHAT
60,97,41,22,44,18,SEDANG
53,81,39,26,36,18,SEDANG
52,67,38,24,38,19,SEDANG
,85,39,21,51,19,SEDANG
,78,38,22,44,19,SEDANG
,108,41,23,58,15,TIDAK SEHAT
,109,39,22,53,16,TIDAK SEHAT
,,44,21,62,15,SEDANG
,,38,23,49,17,BAIK
,,38,25,56,17,SEDANG
,68,39,24,33,17,SEDANG
,113,41,32,39,14,TIDAK SEHAT
,124,45,24,57,13,TIDAK SEHAT
,133,50,21,44,17,TIDAK SEHAT
,141,45,19,61,14,TIDAK SEHAT
,157,41,33,55,19,TIDAK SEHAT
,87,40,17,51,13,SEDANG
,86,41,21,38,13,SEDANG
,73,41,22,49,17,SEDANG
,,45,20,38,16,BAIK
,71,44,17,33,10,SEDANG
,,41,18,36,11,BAIK
,,40,16,30,7,BAIK
,,42,19,31,7,BAIK
,53,42,20,35,8,SEDANG
,56,44,19,28,12,SEDANG
,38,39,18,27,9,BAIK
,41,40,17,16,9,BAIK
,24,40,15,15,5,BAIK
32,65,67,7,9,40,BAIK
19,52,67,6,9,33,BAIK
19,31,67,4,12,15,BAIK
30,45,67,7,10,22,BAIK
17,26,67,3,12,13,BAIK
26,47,68,4,11,17,BAIK
66,103,69,27,12,98,SEDANG
38,67,68,15,18,57,SEDANG
42,69,69,11,11,29,SEDANG
38,56,68,12,7,61,BAIK
14,26,68,3,11,15,BAIK
19,40,68,3,13,10,BAIK
21,52,69,4,13,14,BAIK
22,40,68,4,11,15,BAIK
18,40,68,6,10,21,BAIK
27,48,68,5,10,21,BAIK
27,37,68,6,10,30,BAIK
50,67,69,8,8,59,BAIK
18,35,68,5,8,27,BAIK
25,46,69,5,10,32,BAIK
23,53,26,5,11,30,BAIK
53,80,16,11,13,31,SEDANG
52,78,12,15,11,45,BAIK
38,55,12,9,10,33,SEDANG
52,79,12,11,11,52,SEDANG
39,62,12,11,9,35,SEDANG
53,83,12,10,11,36,SEDANG
64,101,14,9,11,35,SEDANG
51,21,13,10,13,35,SEDANG
35,10,13,5,12,13,BAIK
29,11,6,13,10,18,BAIK
29,39,59,10,10,21,SEDANG
25,32,59,9,10,17,SEDANG
21,22,59,9,12,14,SEDANG
25,21,59,10,11,13,SEDANG
21,21,59,9,11,19,SEDANG
32,33,60,12,11,25,SEDANG
71,87,63,26,10,76,SEDANG
58,68,61,13,14,30,SEDANG
49,58,60,10,10,35,SEDANG
39,43,60,15,8,43,SEDANG
28,36,60,9,12,20,SEDANG
31,34,61,11,12,,SEDANG
36,49,72,10,11,9,SEDANG
33,48,23,11,12,13,BAIK
25,34,23,10,12,11,BAIK
62,87,11,28,33,47,SEDANG
60,87,14,25,26,41,SEDANG
51,70,10,34,29,43,SEDANG
44,60,8,25,,37,SEDANG
40,65,12,28,75,45,SEDANG
40,58,10,26,15,39,SEDANG
55,83,13,27,18,40,SEDANG
57,83,12,28,24,44,SEDANG
67,99,16,32,20,46,SEDANG
54,71,10,32,15,41,SEDANG
51,71,10,30,18,42,SEDANG
39,53,9,28,9,36,SEDANG
53,74,8,31,7,33,SEDANG
61,96,19,26,9,34,SEDANG
69,106,22,31,13,49,TIDAK SEHAT
76,109,12,28,13,40,TIDAK SEHAT
76,115,11,38,14,47,TIDAK SEHAT
52,68,9,25,9,32,SEDANG
38,61,10,28,16,36,SEDANG
44,62,13,28,19,40,SEDANG
46,64,16,26,16,36,SEDANG
32,48,13,24,17,31,BAIK
34,54,12,26,18,29,SEDANG
40,51,10,25,11,22,SEDANG
31,44,14,24,14,27,BAIK
40,55,13,26,14,29,SEDANG
50,,10,33,10,27,BAIK
30,42,9,25,9,24,BAIK
29,32,10,23,8,21,BAIK
27,40,10,22,7,16,BAIK
62,88,59,15,29,31,SEDANG
70,89,60,11,25,18,SEDANG
51,66,59,18,25,39,SEDANG
52,66,59,15,18,34,SEDANG
51,70,59,13,22,25,SEDANG
50,63,59,14,21,29,SEDANG
60,86,60,12,25,26,SEDANG
60,91,60,16,30,36,SEDANG
71,100,60,11,31,25,SEDANG
60,77,60,20,21,49,SEDANG
55,70,59,16,23,36,SEDANG
52,59,60,15,16,39,SEDANG
61,81,61,13,14,38,SEDANG
64,96,61,10,15,22,SEDANG
76,118,62,14,21,27,TIDAK SEHAT
78,113,61,13,20,25,TIDAK SEHAT
100,132,62,24,17,52,TIDAK SEHAT
58,69,60,11,16,19,SEDANG
50,68,60,16,19,33,SEDANG
57,71,61,15,23,42,SEDANG
57,70,,12,19,29,SEDANG
43,54,60,11,19,25,SEDANG
44,58,60,13,20,27,SEDANG
41,49,60,11,15,20,SEDANG
36,52,60,12,11,25,SEDANG
54,63,62,13,16,35,SEDANG
50,59,61,16,13,41,SEDANG
30,44,59,13,11,25,SEDANG
38,53,60,12,11,25,SEDANG
26,39,59,10,11,21,SEDANG
52,77,64,12,26,59,SEDANG
58,84,65,13,24,71,SEDANG
46,65,63,16,18,81,SEDANG
40,60,63,15,26,77,SEDANG
50,73,64,11,26,67,SEDANG
35,55,64,10,23,60,SEDANG
58,80,65,13,25,79,SEDANG
59,83,64,12,31,58,SEDANG
51,79,64,11,28,64,SEDANG
41,63,64,13,22,67,SEDANG
46,62,64,15,19,66,SEDANG
30,51,63,13,19,82,SEDANG
54,73,65,16,16,85,SEDANG
74,102,68,16,16,92,TIDAK SEHAT
70,102,67,13,24,71,TIDAK SEHAT
67,87,65,14,22,64,SEDANG
73,88,65,24,23,99,SEDANG
50,57,64,11,19,64,SEDANG
40,56,65,12,17,69,SEDANG
35,51,66,11,26,72,SEDANG
44,60,65,11,22,66,SEDANG
49,61,65,10,18,58,SEDANG
48,64,65,14,16,78,SEDANG
48,55,65,11,13,68,SEDANG
30,50,65,11,14,73,SEDANG
40,60,65,10,17,71,SEDANG
50,63,65,13,13,77,SEDANG
21,10,67,6,13,26,SEDANG
35,10,67,7,10,34,SEDANG
58,59,54,23,36,28,SEDANG
66,68,54,23,32,23,SEDANG
45,52,53,32,28,28,SEDANG
48,51,53,27,35,28,SEDANG
56,55,54,23,35,25,SEDANG
43,49,53,22,29,24,SEDANG
53,61,54,24,33,21,SEDANG
60,86,14,27,26,43,SEDANG
60,83,15,28,18,47,SEDANG
58,77,16,24,22,34,SEDANG
63,92,11,27,26,33,SEDANG
61,86,12,26,31,37,SEDANG
53,71,13,24,35,40,SEDANG
69,94,15,30,33,48,SEDANG
59,70,14,26,32,44,SEDANG
55,73,13,25,36,40,SEDANG
65,82,14,26,39,37,SEDANG
61,82,14,36,20,34,SEDANG
51,82,12,23,28,32,SEDANG
64,94,14,28,32,51,SEDANG
57,84,12,24,40,38,SEDANG
52,78,10,23,34,35,SEDANG
52,73,9,26,40,45,SEDANG
57,76,8,26,29,40,SEDANG
54,78,19,23,34,31,SEDANG
60,83,10,26,37,36,SEDANG
59,75,11,28,29,41,SEDANG
62,86,11,27,36,44,SEDANG
59,78,11,28,29,45,SEDANG
63,85,59,12,28,22,SEDANG
67,89,59,12,30,26,SEDANG
69,96,59,12,25,26,SEDANG
63,82,59,10,29,18,SEDANG
62,82,59,15,23,38,SEDANG
56,75,59,13,28,23,SEDANG
77,107,60,16,25,35,TIDAK SEHAT
63,84,60,12,25,23,SEDANG
62,77,59,10,30,15,SEDANG
69,88,59,11,30,22,SEDANG
62,77,59,9,28,16,SEDANG
65,82,60,10,24,19,SEDANG
62,82,58,12,24,18,SEDANG
65,82,59,13,26,26,SEDANG
60,81,59,13,36,25,SEDANG
78,100,60,16,33,36,SEDANG
60,77,59,14,32,33,SEDANG
61,80,59,12,40,23,SEDANG
78,102,59,13,34,26,TIDAK SEHAT
59,71,59,12,23,21,SEDANG
51,70,59,12,27,22,SEDANG
85,106,60,14,34,32,TIDAK SEHAT
68,90,59,11,38,17,SEDANG
60,74,59,9,29,18,SEDANG
52,69,59,9,31,18,SEDANG
59,75,59,13,31,29,SEDANG
58,77,61,11,32,19,SEDANG
64,90,60,13,30,22,SEDANG
65,86,60,14,31,29,SEDANG
